excluded,remaining_cases,pooled_ratio_nt_urban_inpatient_per_1000_beds,mean_ratio_nt_urban_inpatient_per_1000_beds
A:E1,123,3.8617212322143946,3.873653836403291
D:J6,124,4.51524328689683,4.598467961747859
C:3F,119,3.742899040453952,3.773855957484416
E:11A,120,4.797445992327882,4.599396557311088
F:3B,121,4.050070664243893,4.054637816568456
G:E5,116,3.624076848693509,3.660407043802945
H:E1&E2&E3,117,3.921132328094616,3.9349286381648922
I:E002,119,3.802310136334173,3.8123790346416904
G:E1,124,3.921132328094616,3.9440293280066228
K:A2R,124,4.51524328689683,4.598467961747859
M:2DL,123,3.921132328094616,3.9440293280066228
J:3H,118,3.742899040453952,3.773855957484416
N:9D,117,3.8617212322143946,3.8873048711658873
A:D4,117,3.802310136334173,3.8123790346416904
D:E8,124,4.51524328689683,4.598467961747859
Q:PMH,120,5.482795419803294,5.048956946123402
I:A102,104,2.7923215063704085,2.7707074046944746
A:H1,112,3.445843561052844,3.444730224072085
