Hospital_anonymized,Wards,ha_cluster,region,path,cases,lineages
A,AE*,NTWC,New Territories,staff_first,7,BA.2.2
A,D4,NTWC,New Territories,same_day,9,"BA.2.12.1,BA.2.2"
A,E1,NTWC,New Territories,inpatient_only,3,"BA.2.12.1,BA.2.2"
A,H1,NTWC,New Territories,staff_first,14,BA.2.2
A,R11B*,NTWC,New Territories,staff_only,2,BA.2.2
B,B101*,NTWC,New Territories,inpatient_only,3,BA.2.2
C,12C*,NTEC,New Territories,staff_only,3,BA.2.2
C,3F,NTEC,New Territories,inpatient_first,7,BA.2.2
D,E8,HKEC,Urban (in sample),inpatient_only,2,BA.2.2
D,J6,HKEC,Urban (in sample),inpatient_only,2,BA.2.2
E,11A,KWC,Urban (in sample),staff_first,6,BA.2.2
F,3B,KEC,Urban (in sample),inpatient_only,5,BA.2.2
G,CATERING*,NTEC,New Territories,staff_only,4,BA.2.2
G,E1,NTEC,New Territories,inpatient_only,2,BA.2.2
G,E5,NTEC,New Territories,inpatient_first,10,BA.2.2
H,E1&E2&E3,NTWC,New Territories,staff_first,9,"BA.2.12.1,BA.2.2"
I,A102,NTWC,New Territories,inpatient_first,22,BA.5.6
I,E002,NTWC,New Territories,same_day,7,BA.2.2
J,3H,NTEC,New Territories,same_day,8,BA.2.2
J,AE01*,NTEC,New Territories,staff_only,2,BA.2.2
J,STAFF*,NTEC,New Territories,staff_only,4,BA.2.2
K,A2R,HKEC,Urban (in sample),inpatient_only,2,BA.2.2
L,2A*,NTWC,New Territories,inpatient_first,2,BA.2.2
M,2DL,NTEC,New Territories,inpatient_first,3,BA.2.2
N,9D,NTEC,New Territories,staff_first,9,BA.2.2
N,NEATS*,NTEC,New Territories,inpatient_first,4,"BA.2.12.1,BA.2.2"
O,L2*,KWC,Urban (in sample),staff_first,3,BA.2.2
P,C7*,HKEC,Urban (in sample),inpatient_only,2,BA.2.2
Q,PMH,KWC,Urban (in sample),inpatient_first,6,BA.2.2
