ha_cluster,hospital,mention_days
HKEC,Pamela Youde Nethersole Eastern Hospital,3
HKEC,Tung Wah Eastern Hospital,1
HKWC,Queen Mary Hospital,1
KCC,Kowloon Hospital,7
KCC,Queen Elizabeth Hospital,2
KCC,Hong Kong Buddhist Hospital,1
KEC,United Christian Hospital,1
KWC,Kwai Chung Hospital,8
KWC,Princess Margaret Hospital,1
NTEC,North District Hospital,3
NTEC,Shatin Hospital,3
NTEC,Alice Ho Miu Ling Nethersole Hospital,2
NTEC,Tai Po Hospital,1
NTWC,Castle Peak Hospital,9
NTWC,Tuen Mun Hospital,3
